Name,Exp_Mass,Exp_Intensity
,1066.564564,10416
,1067.265315,7037
,1068.052327,7610
,1068.602712,14172
,1068.938337,17741
,1069.552018,7671
,1069.581733,17874
,1070.256173,8165
,1070.350143,6485
,1070.928012,7724
,1071.11072,6061
,1071.258899,8490
,1071.359164,10770
,1071.421865,11979
,1071.55727,15868
,1071.708351,11996
,1071.758591,11735
,1071.852686,8229
,1071.995017,9513
,1072.021109,12471
,1072.709801,4327
,1073.240595,6556
,1073.770367,12231
,1074.123262,76333
,1074.561819,17482
,1075.628536,7969
,1076.371567,19755
,1076.669339,7959
,1078.564686,14323
,1078.583034,7437
,1079.074975,8536
,1079.621966,31238
,1082.26949,20050
,1082.571626,14971
,1082.604844,31503
,1083.57281,17261
,1084.380014,12039
,1085.072428,12661
,1085.907527,8914
,1088.744337,54966
,1090.606479,7521
,1092.529157,207721
,1092.573305,16476
,1093.83975,6057
,1094.879479,10430
,1095.451379,11344
,1096.097612,12083
,1096.309805,11912
,1096.571383,11603
,1096.843653,9692
,1097.582201,10713
,1098.03314,7951
,1098.090771,6748
,1099.293776,5915
,1099.524481,10929
,1099.812721,6245
,1099.922092,6080
,1101.292316,10123
,1101.523839,4494
,1101.587759,10384
,1101.626097,17055
,1101.920968,3706
,1101.978507,14293
,1102.180843,16078
,1102.881079,9139
,1103.091219,4845
,1103.272825,6364
,1105.284289,14718
,1106.852502,5275
,1111.605267,25564
,1111.92653,14249
,1113.107488,4547
,1113.255086,22507
,1113.589513,24170
,1113.756417,27832
,1113.924216,28938
,1114.090514,33616
,1114.425488,24309
,1114.497681,26912
,1115.220169,23788
,1115.263412,7351
,1115.587297,10277
,1117.283021,4673
,1117.72454,11379
,1117.882951,8520
,1117.893513,9354
,1118.188877,6485
,1118.425341,12785
,1118.463549,3662
,1118.592707,7423
,1118.990643,4328
,1119.90403,6571
,1120.257494,6167
,1120.594388,11835
,1121.345421,15219
,1121.401667,8294
,1122.925706,6029
,1123.015467,4020
,1124.61445,31164
,1125.114824,13293
,1125.597335,19665
,1126.224759,13199
,1126.516205,5705
,1127.594854,11552
,1127.7656,6825
,1127.873951,11984
,1127.959944,13898
,1128.12084,14462
,1128.269585,5401
,1128.617389,17524
,1128.617389,22940
,1128.673887,12770
,1129.308037,19380
,1129.45175,26884
,1129.531319,12866
,1129.59614,31847
,1129.73949,62751
,1129.817713,30220
,1129.960757,18863
,1130.460031,18122
,1131.601528,46879
,1131.637422,72184
,1132.265206,7259
,1133.14156,12098
,1133.178569,20333
,1133.317344,24563
,1133.579398,6770
,1134.104386,14931
,1134.245577,18098
,1134.388621,16892
,1134.459582,5191
,1134.459582,10847
,1134.533035,12804
,1134.679728,12308
,1135.099657,10866
,1135.26719,9162
,1135.601703,20803
,1136.321645,6703
,1136.584727,8091
,1136.872387,14484
,1137.615354,7663
,1138.597614,8640
,1140.619404,34839
,1145.766457,6244
,1146.17256,11100
,1147.222034,57989
,1147.288921,22422
,1147.293694,21505
,1148.270814,8621
,1148.454229,7334
,1148.597706,15432
,1149.622726,12132
,1150.089924,12194
,1150.592028,15581
,1150.773034,11912
,1151.870582,10344
,1151.944608,8986
,1152.277771,9458
,1152.277771,5203
,1152.591178,3936
,1152.597136,7879
,1156.753449,11408
,1156.942424,8138
,1157.276939,7246
,1157.615736,11022
,1159.933512,6183
,1160.604372,13252
,1161.551567,130494
,1161.624764,6365
,1161.624764,24939
,1161.664795,56133
,1162.12841,10265
,1162.281855,14925
,1164.141148,23144
,1165.609017,17732
,1168.141414,49860
,1168.295402,22927
,1168.642549,57139
,1170.466857,4361
,1171.687469,16628
,1171.688161,2556
,1174.791342,6808
,1174.96469,6197
,1176.106729,5052
,1177.258992,9987
,1177.384292,16224
,1177.508478,9870
,1177.62629,10585
,1177.853777,6562
,1178.693297,71230
,1179.189318,9941
,1179.371509,9493
,1179.561239,109751
,1179.795094,7038
,1179.872793,9866
,1180.207921,13082
,1180.264166,8866
,1180.323641,9993
,1180.378753,4701
,1180.623288,47214
,1180.776886,4229
,1182.060004,7451
,1182.618865,11130
,1182.862182,13228
,1183.062497,11137
,1183.19811,4969
,1183.63146,16840
,1185.776737,5594
,1186.78243,8137
,1187.000291,16663
,1187.61937,6632
,1188.463292,8033
,1188.768004,4390
,1188.786001,6000
,1189.607611,8989
,1189.823861,6067
,1189.87861,4136
,1189.946498,8438
,1189.992491,11013
,1190.661604,9860
,1192.268838,8307
,1192.621425,12721
,1192.832497,8465
,1192.867539,9745
,1194.898041,8064
,1195.129521,25444
,1195.30476,13931
,1195.630071,28008
,1195.915217,11647
,1196.331031,6336
,1197.637874,11314
,1201.629977,6205
,1202.060962,4510
,1202.348933,5116
,1202.49003,6513
,1203.62683,8414
,1203.7852,4168
,1204.135034,19960
,1204.332316,4293
,1204.792479,8461
,1205.078748,6901
,1206.658735,6467
,1207.039825,9274
,1207.082207,4739
,1207.235037,14762
,1207.307552,9412
,1207.436854,16609
,1208.138478,7611
,1208.931064,10327
,1208.978292,14645
,1209.403868,11784
,1209.479625,10583
,1209.504945,15350
,1209.624952,12479
,1210.181221,8333
,1210.191403,9883
,1210.261894,9453
,1210.308669,11865
,1210.9786,5740
,1211.280965,6839
,1211.292072,5343
,1211.861876,11288
,1212.401909,15032
,1212.572098,17423
,1212.723687,12928
,1213.324488,23732
,1213.341854,21158
,1213.478231,10755
,1213.478231,16077
,1213.492976,20292
,1213.875788,19185
,1214.029402,22984
,1214.112185,13399
,1214.227613,13866
,1214.265052,13458
,1214.338973,25485
,1215.187435,29132
,1215.547091,57995
,1216.112139,41213
,1216.265745,26669
,1216.310012,12806
,1216.342665,38395
,1216.405646,76599
,1216.803749,44269
,1219.162762,19548
,1219.420566,48429
,1219.497684,55652
,1220.26477,27303
,1220.34239,28408
,1220.573419,29969
,1220.846735,4412
,1221.535575,8855
,1222.189657,9998
,1222.341847,7689
,1222.836785,16329
,1223.652371,17769
,1223.743297,10512
,1223.787256,11286
,1224.313104,12599
,1224.689264,14101
,1224.861285,6101
,1225.237726,6150
,1226.785208,13894
,1227.662763,9639
,1228.707663,61088
,1229.022665,15438
,1229.489947,5453
,1229.634134,5640
,1230.927239,5178
,1231.887779,10803
,1232.116487,11709
,1232.148639,5617
,1232.162038,6080
,1232.27258,6305
,1232.426619,11587
,1232.648689,8508
,1232.673961,12698
,1233.038651,4331
,1234.000103,12746
,1234.507295,14548
,1234.645395,12131
,1235.641665,3190
,1236.64288,12950
,1237.0749,9062
,1237.939743,11359
,1238.656164,21547
,1238.821833,8934
,1238.98759,8603
,1239.485322,7747
,1239.821494,10491
,1239.989678,11553
,1240.324391,17128
,1245.657281,16170
,1247.402047,6215
,1248.340109,3981
,1248.829453,4286
,1249.164222,6103
,1249.650377,6111
,1251.664174,54093
,1251.68228,5238
,1252.639748,9634
,1253.245505,5728
,1253.497133,6234
,1253.658481,11120
,1253.658481,13479
,1253.703659,8111
,1255.594358,30291
,1256.167448,5519
,1257.851127,12936
,1258.325007,7168
,1258.837502,8266
,1259.580463,9417
,1259.684911,26498
,1259.763229,9339
,1259.833274,9803
,1259.999382,10754
,1260.160233,6899
,1260.187018,15258
,1260.335829,4794
,1260.668888,17037
,1260.965511,8301
,1261.032404,5367
,1261.21429,8378
,1261.7644,13451
,1262.012776,5625
,1262.183272,5490
,1262.335892,11111
,1262.654071,5630
,1262.711028,23960
,1263.443553,4150
,1264.1869,4507
,1264.233444,4163
,1265.093786,4983
,1265.435057,6338
,1265.655139,6557
,1266.67508,14277
,1268.182876,8523
,1268.66932,11015
,1269.18005,9963
,1270.661574,8584
,1272.681605,13950
,1273.571077,7770
,1274.655602,5202
,1275.181039,7783
,1275.241342,6622
,1275.255997,8094
,1275.398826,6926
,1275.672564,9868
,1275.672564,7183
,1276.440268,7096
,1277.543335,6078
,1277.601167,5646
